sep=\t
Module Resource Usage Distribution Estimates
Generated at: Sep 02, 2026 08:28:06

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	          FFs	      SRLs	       ADDs	         LUTs	    COMB4s	      RAMs	 DSP/MULTs
      +rst_busy_sync:efx_asyncreg_b64bd53245f74d6a99e917bfa5663d9f(WIDTH=1)	        2(2)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
      +addr_fifo:efx_fifo_top_b64bd53245f74d6a99e917bfa5663d9f(FAMILY="TITANIUM",DEPTH=16,DATA_WIDTH=54,PROGRAMMABLE_FULL="NONE",PROGRAMMABLE_EMPTY="NONE")	       54(0)	     0(0)	      5(0)	       27(0)	     0(0)	     3(0)	     0(0)	
       +genblk2.genblk1.efx_resetsync_wr_rst:efx_resetsync_b64bd53245f74d6a99e917bfa5663d9f(ACTIVE_LOW=0)	        2(0)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
        +active_high.efx_resetsync_active_high:efx_asyncreg_b64bd53245f74d6a99e917bfa5663d9f(WIDTH=1,ACTIVE_LOW=0,RST_VALUE=1)	        2(2)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
       +genblk2.genblk1.efx_resetsync_rd_rst:efx_resetsync_b64bd53245f74d6a99e917bfa5663d9f(ACTIVE_LOW=0)	        2(0)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
        +active_high.efx_resetsync_active_high:efx_asyncreg_b64bd53245f74d6a99e917bfa5663d9f(WIDTH=1,ACTIVE_LOW=0,RST_VALUE=1)	        2(2)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
       +xefx_fifo_ram:efx_fifo_ram_b64bd53245f74d6a99e917bfa5663d9f(FAMILY="TITANIUM",WR_DEPTH=16,RD_DEPTH=16,WDATA_WIDTH=54,RDATA_WIDTH=54,WADDR_WIDTH=4,RADDR_WIDTH=4,OUTPUT_REG=0,RAM_MUX_RATIO=1)	        0(0)	     0(0)	      0(0)	        0(0)	     0(0)	     3(3)	     0(0)	
       +xefx_fifo_ctl:efx_fifo_ctl_b64bd53245f74d6a99e917bfa5663d9f(SYNC_CLK=0,WR_DEPTH=16,WADDR_WIDTH=4,RADDR_WIDTH=4,PROG_FULL_ASSERT=27,PROG_FULL_NEGATE=23,PROG_EMPTY_ASSERT=5,PROG_EMPTY_NEGATE=7,OVERFLOW_PROTECT=1,UNDERFLOW_PROTECT=1)	      50(30)	     0(0)	      5(5)	      27(12)	     0(0)	     0(0)	     0(0)	
        +async_clk.xrd2wr_bin2gray:efx_fifo_bin2gray_b64bd53245f74d6a99e917bfa5663d9f	        0(0)	     0(0)	      0(0)	        4(4)	     0(0)	     0(0)	     0(0)	
        +async_clk.xrd2wr_addr_sync:efx_asyncreg_b64bd53245f74d6a99e917bfa5663d9f(WIDTH=5,ACTIVE_LOW=0,OFF_ASSERTION=1)	      10(10)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
        +async_clk.xrd2wr_gray2bin:efx_fifo_gray2bin_b64bd53245f74d6a99e917bfa5663d9f	        0(0)	     0(0)	      0(0)	        4(1)	     0(0)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_b64bd53245f74d6a99e917bfa5663d9f(WIDTH=4)	        0(0)	     0(0)	      0(0)	        3(1)	     0(0)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_b64bd53245f74d6a99e917bfa5663d9f(WIDTH=3)	        0(0)	     0(0)	      0(0)	        2(1)	     0(0)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_b64bd53245f74d6a99e917bfa5663d9f(WIDTH=2)	        0(0)	     0(0)	      0(0)	        1(1)	     0(0)	     0(0)	     0(0)	
        +async_clk.wr2rd_bin2gray:efx_fifo_bin2gray_b64bd53245f74d6a99e917bfa5663d9f	        0(0)	     0(0)	      0(0)	        3(3)	     0(0)	     0(0)	     0(0)	
        +async_clk.wr2rd_addr_sync:efx_asyncreg_b64bd53245f74d6a99e917bfa5663d9f(WIDTH=5,ACTIVE_LOW=0,OFF_ASSERTION=1)	      10(10)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
        +async_clk.wr2rd_gray2bin:efx_fifo_gray2bin_b64bd53245f74d6a99e917bfa5663d9f	        0(0)	     0(0)	      0(0)	        4(1)	     0(0)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_b64bd53245f74d6a99e917bfa5663d9f(WIDTH=4)	        0(0)	     0(0)	      0(0)	        3(1)	     0(0)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_b64bd53245f74d6a99e917bfa5663d9f(WIDTH=3)	        0(0)	     0(0)	      0(0)	        2(1)	     0(0)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_b64bd53245f74d6a99e917bfa5663d9f(WIDTH=2)	        0(0)	     0(0)	      0(0)	        1(1)	     0(0)	     0(0)	     0(0)	
      +genblk2.wr_data_fifo:efx_fifo_top_b64bd53245f74d6a99e917bfa5663d9f(FAMILY="TITANIUM",DEPTH=256,DATA_WIDTH=160,PROGRAMMABLE_FULL="NONE",PROGRAMMABLE_EMPTY="NONE",ASYM_WIDTH_RATIO=2)	       97(0)	     0(0)	     19(0)	       41(1)	     0(0)	    10(0)	     0(0)	
       +genblk2.genblk1.efx_resetsync_wr_rst:efx_resetsync_b64bd53245f74d6a99e917bfa5663d9f(ACTIVE_LOW=0)	        2(0)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
        +active_high.efx_resetsync_active_high:efx_asyncreg_b64bd53245f74d6a99e917bfa5663d9f(WIDTH=1,ACTIVE_LOW=0,RST_VALUE=1)	        2(2)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
       +genblk2.genblk1.efx_resetsync_rd_rst:efx_resetsync_b64bd53245f74d6a99e917bfa5663d9f(ACTIVE_LOW=0)	        2(0)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
        +active_high.efx_resetsync_active_high:efx_asyncreg_b64bd53245f74d6a99e917bfa5663d9f(WIDTH=1,ACTIVE_LOW=0,RST_VALUE=1)	        2(2)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
       +xefx_fifo_ram:efx_fifo_ram_b64bd53245f74d6a99e917bfa5663d9f(FAMILY="TITANIUM",WR_DEPTH=256,RD_DEPTH=1024,WDATA_WIDTH=160,RDATA_WIDTH=40,WADDR_WIDTH=8,RADDR_WIDTH=10,OUTPUT_REG=0)	        0(0)	     0(0)	      0(0)	        0(0)	     0(0)	   10(10)	     0(0)	
       +xefx_fifo_ctl:efx_fifo_ctl_b64bd53245f74d6a99e917bfa5663d9f(SYNC_CLK=0,WR_DEPTH=256,WADDR_WIDTH=8,RADDR_WIDTH=10,ASYM_WIDTH_RATIO=2,RAM_MUX_RATIO=4,PROG_FULL_ASSERT=27,PROG_FULL_NEGATE=23,PROG_EMPTY_ASSERT=5,PROG_EMPTY_NEGATE=7,OVERFLOW_PROTECT=1,UNDERFLOW_PROTECT=1)	      93(57)	     0(0)	    19(19)	       40(8)	     0(0)	     0(0)	     0(0)	
        +async_clk.xrd2wr_bin2gray:efx_fifo_bin2gray_b64bd53245f74d6a99e917bfa5663d9f(WIDTH=11)	        0(0)	     0(0)	      0(0)	        8(8)	     0(0)	     0(0)	     0(0)	
        +async_clk.xrd2wr_addr_sync:efx_asyncreg_b64bd53245f74d6a99e917bfa5663d9f(WIDTH=11,ACTIVE_LOW=0,OFF_ASSERTION=1)	      18(18)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
        +async_clk.xrd2wr_gray2bin:efx_fifo_gray2bin_b64bd53245f74d6a99e917bfa5663d9f(WIDTH=11)	        0(0)	     0(0)	      0(0)	        8(1)	     0(0)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_b64bd53245f74d6a99e917bfa5663d9f(WIDTH=10)	        0(0)	     0(0)	      0(0)	        7(1)	     0(0)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_b64bd53245f74d6a99e917bfa5663d9f(WIDTH=9)	        0(0)	     0(0)	      0(0)	        6(1)	     0(0)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_b64bd53245f74d6a99e917bfa5663d9f(WIDTH=8)	        0(0)	     0(0)	      0(0)	        5(1)	     0(0)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_b64bd53245f74d6a99e917bfa5663d9f(WIDTH=7)	        0(0)	     0(0)	      0(0)	        4(1)	     0(0)	     0(0)	     0(0)	
             +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_b64bd53245f74d6a99e917bfa5663d9f(WIDTH=6)	        0(0)	     0(0)	      0(0)	        3(1)	     0(0)	     0(0)	     0(0)	
              +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_b64bd53245f74d6a99e917bfa5663d9f	        0(0)	     0(0)	      0(0)	        2(1)	     0(0)	     0(0)	     0(0)	
               +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_b64bd53245f74d6a99e917bfa5663d9f(WIDTH=4)	        0(0)	     0(0)	      0(0)	        1(1)	     0(0)	     0(0)	     0(0)	
        +async_clk.wr2rd_bin2gray:efx_fifo_bin2gray_b64bd53245f74d6a99e917bfa5663d9f(WIDTH=9)	        0(0)	     0(0)	      0(0)	        8(8)	     0(0)	     0(0)	     0(0)	
        +async_clk.wr2rd_addr_sync:efx_asyncreg_b64bd53245f74d6a99e917bfa5663d9f(WIDTH=9,ACTIVE_LOW=0,OFF_ASSERTION=1)	      18(18)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
        +async_clk.wr2rd_gray2bin:efx_fifo_gray2bin_b64bd53245f74d6a99e917bfa5663d9f(WIDTH=9)	        0(0)	     0(0)	      0(0)	        8(1)	     0(0)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_b64bd53245f74d6a99e917bfa5663d9f(WIDTH=8)	        0(0)	     0(0)	      0(0)	        7(1)	     0(0)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_b64bd53245f74d6a99e917bfa5663d9f(WIDTH=7)	        0(0)	     0(0)	      0(0)	        6(1)	     0(0)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_b64bd53245f74d6a99e917bfa5663d9f(WIDTH=6)	        0(0)	     0(0)	      0(0)	        5(1)	     0(0)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_b64bd53245f74d6a99e917bfa5663d9f	        0(0)	     0(0)	      0(0)	        4(1)	     0(0)	     0(0)	     0(0)	
             +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_b64bd53245f74d6a99e917bfa5663d9f(WIDTH=4)	        0(0)	     0(0)	      0(0)	        3(1)	     0(0)	     0(0)	     0(0)	
              +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_b64bd53245f74d6a99e917bfa5663d9f(WIDTH=3)	        0(0)	     0(0)	      0(0)	        2(1)	     0(0)	     0(0)	     0(0)	
               +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_b64bd53245f74d6a99e917bfa5663d9f(WIDTH=2)	        0(0)	     0(0)	      0(0)	        1(1)	     0(0)	     0(0)	     0(0)	
      +rd_counter_fifo:efx_fifo_top_b64bd53245f74d6a99e917bfa5663d9f(FAMILY="TITANIUM",DEPTH=16,DATA_WIDTH=5,PROGRAMMABLE_FULL="NONE",PROGRAMMABLE_EMPTY="NONE",UNDERFLOW_PROTECT=0)	       55(0)	     0(0)	      5(0)	       27(0)	     0(0)	     1(0)	     0(0)	
       +genblk2.genblk1.efx_resetsync_wr_rst:efx_resetsync_b64bd53245f74d6a99e917bfa5663d9f(ACTIVE_LOW=0)	        2(0)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
        +active_high.efx_resetsync_active_high:efx_asyncreg_b64bd53245f74d6a99e917bfa5663d9f(WIDTH=1,ACTIVE_LOW=0,RST_VALUE=1)	        2(2)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
       +genblk2.genblk1.efx_resetsync_rd_rst:efx_resetsync_b64bd53245f74d6a99e917bfa5663d9f(ACTIVE_LOW=0)	        2(0)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
        +active_high.efx_resetsync_active_high:efx_asyncreg_b64bd53245f74d6a99e917bfa5663d9f(WIDTH=1,ACTIVE_LOW=0,RST_VALUE=1)	        2(2)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
       +xefx_fifo_ram:efx_fifo_ram_b64bd53245f74d6a99e917bfa5663d9f(FAMILY="TITANIUM",WR_DEPTH=16,RD_DEPTH=16,WDATA_WIDTH=5,RDATA_WIDTH=5,WADDR_WIDTH=4,RADDR_WIDTH=4,OUTPUT_REG=0,RAM_MUX_RATIO=1)	        0(0)	     0(0)	      0(0)	        0(0)	     0(0)	     1(1)	     0(0)	
       +xefx_fifo_ctl:efx_fifo_ctl_b64bd53245f74d6a99e917bfa5663d9f(SYNC_CLK=0,WR_DEPTH=16,WADDR_WIDTH=4,RADDR_WIDTH=4,PROG_FULL_ASSERT=27,PROG_FULL_NEGATE=23,PROG_EMPTY_ASSERT=5,PROG_EMPTY_NEGATE=7,OVERFLOW_PROTECT=1)	      51(31)	     0(0)	      5(5)	      27(12)	     0(0)	     0(0)	     0(0)	
        +async_clk.xrd2wr_bin2gray:efx_fifo_bin2gray_b64bd53245f74d6a99e917bfa5663d9f	        0(0)	     0(0)	      0(0)	        4(4)	     0(0)	     0(0)	     0(0)	
        +async_clk.xrd2wr_addr_sync:efx_asyncreg_b64bd53245f74d6a99e917bfa5663d9f(WIDTH=5,ACTIVE_LOW=0,OFF_ASSERTION=1)	      10(10)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
        +async_clk.xrd2wr_gray2bin:efx_fifo_gray2bin_b64bd53245f74d6a99e917bfa5663d9f	        0(0)	     0(0)	      0(0)	        4(1)	     0(0)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_b64bd53245f74d6a99e917bfa5663d9f(WIDTH=4)	        0(0)	     0(0)	      0(0)	        3(1)	     0(0)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_b64bd53245f74d6a99e917bfa5663d9f(WIDTH=3)	        0(0)	     0(0)	      0(0)	        2(1)	     0(0)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_b64bd53245f74d6a99e917bfa5663d9f(WIDTH=2)	        0(0)	     0(0)	      0(0)	        1(1)	     0(0)	     0(0)	     0(0)	
        +async_clk.wr2rd_bin2gray:efx_fifo_bin2gray_b64bd53245f74d6a99e917bfa5663d9f	        0(0)	     0(0)	      0(0)	        3(3)	     0(0)	     0(0)	     0(0)	
        +async_clk.wr2rd_addr_sync:efx_asyncreg_b64bd53245f74d6a99e917bfa5663d9f(WIDTH=5,ACTIVE_LOW=0,OFF_ASSERTION=1)	      10(10)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
        +async_clk.wr2rd_gray2bin:efx_fifo_gray2bin_b64bd53245f74d6a99e917bfa5663d9f	        0(0)	     0(0)	      0(0)	        4(1)	     0(0)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_b64bd53245f74d6a99e917bfa5663d9f(WIDTH=4)	        0(0)	     0(0)	      0(0)	        3(1)	     0(0)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_b64bd53245f74d6a99e917bfa5663d9f(WIDTH=3)	        0(0)	     0(0)	      0(0)	        2(1)	     0(0)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_b64bd53245f74d6a99e917bfa5663d9f(WIDTH=2)	        0(0)	     0(0)	      0(0)	        1(1)	     0(0)	     0(0)	     0(0)	
      +wr_cntr_fifo:efx_fifo_top_b64bd53245f74d6a99e917bfa5663d9f(FAMILY="TITANIUM",DEPTH=8,DATA_WIDTH=5,OPTIONAL_FLAGS=0,PROGRAMMABLE_FULL="NONE",PROGRAMMABLE_EMPTY="NONE",OVERFLOW_PROTECT=0,UNDERFLOW_PROTECT=0)	       28(0)	     0(0)	      0(0)	       17(0)	     0(0)	     1(0)	     0(0)	
       +genblk2.genblk1.efx_resetsync_wr_rst:efx_resetsync_b64bd53245f74d6a99e917bfa5663d9f(ACTIVE_LOW=0)	        2(0)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
        +active_high.efx_resetsync_active_high:efx_asyncreg_b64bd53245f74d6a99e917bfa5663d9f(WIDTH=1,ACTIVE_LOW=0,RST_VALUE=1)	        2(2)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
       +genblk2.genblk1.efx_resetsync_rd_rst:efx_resetsync_b64bd53245f74d6a99e917bfa5663d9f(ACTIVE_LOW=0)	        2(0)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
        +active_high.efx_resetsync_active_high:efx_asyncreg_b64bd53245f74d6a99e917bfa5663d9f(WIDTH=1,ACTIVE_LOW=0,RST_VALUE=1)	        2(2)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
       +xefx_fifo_ram:efx_fifo_ram_b64bd53245f74d6a99e917bfa5663d9f(FAMILY="TITANIUM",WR_DEPTH=8,RD_DEPTH=8,WDATA_WIDTH=5,RDATA_WIDTH=5,WADDR_WIDTH=3,RADDR_WIDTH=3,OUTPUT_REG=0,RAM_MUX_RATIO=1)	        0(0)	     0(0)	      0(0)	        0(0)	     0(0)	     1(1)	     0(0)	
       +xefx_fifo_ctl:efx_fifo_ctl_b64bd53245f74d6a99e917bfa5663d9f(SYNC_CLK=0,WR_DEPTH=8,WADDR_WIDTH=3,RADDR_WIDTH=3,ALMOST_FLAG=0,PROG_FULL_ASSERT=27,PROG_FULL_NEGATE=23,PROG_EMPTY_ASSERT=5,PROG_EMPTY_NEGATE=7,HANDSHAKE_FLAG=0)	      24(16)	     0(0)	      0(0)	      17(12)	     0(0)	     0(0)	     0(0)	
        +async_clk.wr2rd_bin2gray:efx_fifo_bin2gray_b64bd53245f74d6a99e917bfa5663d9f(WIDTH=4)	        0(0)	     0(0)	      0(0)	        2(2)	     0(0)	     0(0)	     0(0)	
        +async_clk.wr2rd_addr_sync:efx_asyncreg_b64bd53245f74d6a99e917bfa5663d9f(ACTIVE_LOW=0,OFF_ASSERTION=1)	        8(8)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
        +async_clk.wr2rd_gray2bin:efx_fifo_gray2bin_b64bd53245f74d6a99e917bfa5663d9f(WIDTH=4)	        0(0)	     0(0)	      0(0)	        3(1)	     0(0)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_b64bd53245f74d6a99e917bfa5663d9f(WIDTH=3)	        0(0)	     0(0)	      0(0)	        2(1)	     0(0)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_b64bd53245f74d6a99e917bfa5663d9f(WIDTH=2)	        0(0)	     0(0)	      0(0)	        1(1)	     0(0)	     0(0)	     0(0)	
      +wr_response_fifo:efx_fifo_top_b64bd53245f74d6a99e917bfa5663d9f(FAMILY="TITANIUM",DEPTH=4,DATA_WIDTH=11,PROGRAMMABLE_FULL="NONE",PROGRAMMABLE_EMPTY="NONE",UNDERFLOW_PROTECT=0)	       35(0)	     0(0)	      0(0)	       18(0)	     0(0)	     1(0)	     0(0)	
       +genblk2.genblk1.efx_resetsync_wr_rst:efx_resetsync_b64bd53245f74d6a99e917bfa5663d9f(ACTIVE_LOW=0)	        2(0)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
        +active_high.efx_resetsync_active_high:efx_asyncreg_b64bd53245f74d6a99e917bfa5663d9f(WIDTH=1,ACTIVE_LOW=0,RST_VALUE=1)	        2(2)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
       +genblk2.genblk1.efx_resetsync_rd_rst:efx_resetsync_b64bd53245f74d6a99e917bfa5663d9f(ACTIVE_LOW=0)	        2(0)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
        +active_high.efx_resetsync_active_high:efx_asyncreg_b64bd53245f74d6a99e917bfa5663d9f(WIDTH=1,ACTIVE_LOW=0,RST_VALUE=1)	        2(2)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
       +xefx_fifo_ram:efx_fifo_ram_b64bd53245f74d6a99e917bfa5663d9f(FAMILY="TITANIUM",WR_DEPTH=4,RD_DEPTH=4,WDATA_WIDTH=11,RDATA_WIDTH=11,WADDR_WIDTH=2,RADDR_WIDTH=2,OUTPUT_REG=0,RAM_MUX_RATIO=1)	        0(0)	     0(0)	      0(0)	        0(0)	     0(0)	     1(1)	     0(0)	
       +xefx_fifo_ctl:efx_fifo_ctl_b64bd53245f74d6a99e917bfa5663d9f(SYNC_CLK=0,WR_DEPTH=4,WADDR_WIDTH=2,RADDR_WIDTH=2,PROG_FULL_ASSERT=27,PROG_FULL_NEGATE=23,PROG_EMPTY_ASSERT=5,PROG_EMPTY_NEGATE=7,OVERFLOW_PROTECT=1)	      31(19)	     0(0)	      0(0)	      18(11)	     0(0)	     0(0)	     0(0)	
        +async_clk.xrd2wr_bin2gray:efx_fifo_bin2gray_b64bd53245f74d6a99e917bfa5663d9f(WIDTH=3)	        0(0)	     0(0)	      0(0)	        2(2)	     0(0)	     0(0)	     0(0)	
        +async_clk.xrd2wr_addr_sync:efx_asyncreg_b64bd53245f74d6a99e917bfa5663d9f(WIDTH=3,ACTIVE_LOW=0,OFF_ASSERTION=1)	        6(6)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
        +async_clk.xrd2wr_gray2bin:efx_fifo_gray2bin_b64bd53245f74d6a99e917bfa5663d9f(WIDTH=3)	        0(0)	     0(0)	      0(0)	        2(1)	     0(0)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_b64bd53245f74d6a99e917bfa5663d9f(WIDTH=2)	        0(0)	     0(0)	      0(0)	        1(1)	     0(0)	     0(0)	     0(0)	
        +async_clk.wr2rd_bin2gray:efx_fifo_bin2gray_b64bd53245f74d6a99e917bfa5663d9f(WIDTH=3)	        0(0)	     0(0)	      0(0)	        1(1)	     0(0)	     0(0)	     0(0)	
        +async_clk.wr2rd_addr_sync:efx_asyncreg_b64bd53245f74d6a99e917bfa5663d9f(WIDTH=3,ACTIVE_LOW=0,OFF_ASSERTION=1)	        6(6)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
        +async_clk.wr2rd_gray2bin:efx_fifo_gray2bin_b64bd53245f74d6a99e917bfa5663d9f(WIDTH=3)	        0(0)	     0(0)	      0(0)	        2(1)	     0(0)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_b64bd53245f74d6a99e917bfa5663d9f(WIDTH=2)	        0(0)	     0(0)	      0(0)	        1(1)	     0(0)	     0(0)	     0(0)	
      +rd_data_fifo:efx_fifo_top_b64bd53245f74d6a99e917bfa5663d9f(FAMILY="TITANIUM",MODE="FWFT",DEPTH=1024,DATA_WIDTH=35,PROGRAMMABLE_FULL="STATIC_SINGLE",PROG_FULL_ASSERT=512,PROGRAMMABLE_EMPTY="NONE",ASYM_WIDTH_RATIO=6)	       96(0)	     0(0)	     29(0)	       46(0)	     0(0)	     9(0)	     0(0)	
       +genblk2.genblk1.efx_resetsync_wr_rst:efx_resetsync_b64bd53245f74d6a99e917bfa5663d9f(ACTIVE_LOW=0)	        2(0)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
        +active_high.efx_resetsync_active_high:efx_asyncreg_b64bd53245f74d6a99e917bfa5663d9f(WIDTH=1,ACTIVE_LOW=0,RST_VALUE=1)	        2(2)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
       +genblk2.genblk1.efx_resetsync_rd_rst:efx_resetsync_b64bd53245f74d6a99e917bfa5663d9f(ACTIVE_LOW=0)	        2(0)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
        +active_high.efx_resetsync_active_high:efx_asyncreg_b64bd53245f74d6a99e917bfa5663d9f(WIDTH=1,ACTIVE_LOW=0,RST_VALUE=1)	        2(2)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
       +xefx_fifo_ram:efx_fifo_ram_b64bd53245f74d6a99e917bfa5663d9f(FAMILY="TITANIUM",WR_DEPTH=1024,RD_DEPTH=256,WDATA_WIDTH=35,RDATA_WIDTH=140,WADDR_WIDTH=10,RADDR_WIDTH=8,OUTPUT_REG=0)	        0(0)	     0(0)	      0(0)	        0(0)	     0(0)	     9(9)	     0(0)	
       +xefx_fifo_ctl:efx_fifo_ctl_b64bd53245f74d6a99e917bfa5663d9f(SYNC_CLK=0,MODE="FWFT",WR_DEPTH=1024,WADDR_WIDTH=10,RADDR_WIDTH=8,ASYM_WIDTH_RATIO=6,RAM_MUX_RATIO=4,PROGRAMMABLE_FULL="STATIC_SINGLE",PROG_FULL_ASSERT=512,PROG_FULL_NEGATE=23,PROG_EMPTY_ASSERT=5,PROG_EMPTY_NEGATE=7,OVERFLOW_PROTECT=1,UNDERFLOW_PROTECT=1)	      92(56)	     0(0)	    29(29)	      46(14)	     0(0)	     0(0)	     0(0)	
        +async_clk.xrd2wr_bin2gray:efx_fifo_bin2gray_b64bd53245f74d6a99e917bfa5663d9f(WIDTH=9)	        0(0)	     0(0)	      0(0)	        8(8)	     0(0)	     0(0)	     0(0)	
        +async_clk.xrd2wr_addr_sync:efx_asyncreg_b64bd53245f74d6a99e917bfa5663d9f(WIDTH=9,ACTIVE_LOW=0,OFF_ASSERTION=1)	      18(18)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
        +async_clk.xrd2wr_gray2bin:efx_fifo_gray2bin_b64bd53245f74d6a99e917bfa5663d9f(WIDTH=9)	        0(0)	     0(0)	      0(0)	        8(1)	     0(0)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_b64bd53245f74d6a99e917bfa5663d9f(WIDTH=8)	        0(0)	     0(0)	      0(0)	        7(1)	     0(0)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_b64bd53245f74d6a99e917bfa5663d9f(WIDTH=7)	        0(0)	     0(0)	      0(0)	        6(1)	     0(0)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_b64bd53245f74d6a99e917bfa5663d9f(WIDTH=6)	        0(0)	     0(0)	      0(0)	        5(1)	     0(0)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_b64bd53245f74d6a99e917bfa5663d9f	        0(0)	     0(0)	      0(0)	        4(1)	     0(0)	     0(0)	     0(0)	
