sep=\t
Module Resource Usage Distribution Estimates
Generated at: Sep 02, 2026 08:28:06

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	          FFs	      SRLs	       ADDs	         LUTs	    COMB4s	      RAMs	 DSP/MULTs
                +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_f123b49f0f574f64a9a2982368753f7b(WIDTH=3)	        0(0)	     0(0)	      0(0)	        2(1)	     0(0)	     0(0)	     0(0)	
                 +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_f123b49f0f574f64a9a2982368753f7b(WIDTH=2)	        0(0)	     0(0)	      0(0)	        1(1)	     0(0)	     0(0)	     0(0)	
 +u_cam:cam_picam_v2(MIPI_FRAME_WIDTH=1920,MIPI_FRAME_HEIGHT=1080,FRAME_WIDTH=540,FRAME_HEIGHT=540,DMA_TRANSFER_LENGTH=145800)	   2315(383)	     0(0)	 1063(189)	    626(164)	     0(0)	    30(0)	    11(0)	
  +u_cam_pixel_remap_fifo:cam_pixel_remap_fifo              	       26(0)	     0(0)	     19(0)	       11(0)	     0(0)	     2(0)	     0(0)	
   +u_efx_fifo_top:efx_fifo_top_04a96f5177a940fe94d182603b3fa9c9(FAMILY="",SYNC_CLK=1,PIPELINE_REG=0,OUTPUT_REG=1,PROGRAMMABLE_FULL="NONE",PROG_FULL_ASSERT=510,PROG_FULL_NEGATE=510,PROGRAMMABLE_EMPTY="NONE",PROG_EMPTY_ASSERT=2,PROG_EMPTY_NEGATE=3)	       26(0)	     0(0)	     19(0)	       11(0)	     0(0)	     2(0)	     0(0)	
    +genblk2.efx_resetsync_a_rst:efx_resetsync_04a96f5177a940fe94d182603b3fa9c9(ACTIVE_LOW=0)	        2(0)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
     +active_high.efx_resetsync_active_high:efx_asyncreg_04a96f5177a940fe94d182603b3fa9c9(WIDTH=1,ACTIVE_LOW=0,RST_VALUE=1)	        2(2)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
    +xefx_fifo_ram:efx_fifo_ram_04a96f5177a940fe94d182603b3fa9c9(FAMILY="",WDATA_WIDTH=32,RDATA_WIDTH=32,RAM_MUX_RATIO=1)	        1(1)	     0(0)	      0(0)	        1(1)	     0(0)	     2(2)	     0(0)	
    +xefx_fifo_ctl:efx_fifo_ctl_04a96f5177a940fe94d182603b3fa9c9(PIPELINE_REG=0,PROG_FULL_ASSERT=510,PROG_FULL_NEGATE=510,PROG_EMPTY_ASSERT=2,PROG_EMPTY_NEGATE=3,OUTPUT_REG=1,OVERFLOW_PROTECT=1,UNDERFLOW_PROTECT=1)	      23(23)	     0(0)	    19(19)	      10(10)	     0(0)	     0(0)	     0(0)	
  +u_isp_top:isp_top(PIXEL_PER_CYCLE=2,S_AXIS_DATA_WIDTH=24,M_AXIS_DATA_WIDTH=48)	     1711(0)	     0(0)	    597(0)	      374(0)	     0(0)	    23(0)	    11(0)	
   +isp_int:isp(PIXEL_BIT_WIDTH=12,S_AXI_WSTRB_WIDTH=4,S_AXIS_DATA_WIDTH=24,M_AXIS_DATA_WIDTH=48,DECOMPANDING_XLUT_FILE="decompanding_xlut.mem",DECOMPANDING_YLUT_FILE="decompanding_ylut_12_bit.mem",DECOMPANDING_FLUT_FILE="decompanding_flut_12_bit.mem",GAMMA_LUT_FILE="lut.mem")	     1711(0)	     0(0)	    597(0)	      374(0)	     0(0)	    23(0)	    11(0)	
    +axi_lite_register_inst:axi_lite_register(S_AXI_WSTRB_WIDTH=4)	      24(24)	     0(0)	      0(0)	      16(16)	     0(0)	     0(0)	     0(0)	
    +blc_inst:blc(PIXEL_PER_CYCLE=2,PIXEL_BIT_WIDTH=12)     	      58(58)	     0(0)	    20(20)	      20(20)	     0(0)	     0(0)	     0(0)	
    +colorgain_inst:colorgain(PIXEL_PER_CYCLE=2,PIXEL_BIT_WIDTH=12)	      90(90)	     0(0)	      0(0)	      44(44)	     0(0)	     0(0)	     2(2)	
    +skidbuffer1_inst:skidbuffer(DATA_WIDTH=24)             	      54(54)	     0(0)	      0(0)	      31(31)	     0(0)	     0(0)	     0(0)	
    +demosaic_inst:demosaic(MAX_RESOLUTION=2048,PIXEL_PER_CYCLE=2)	    881(718)	     0(0)	  385(376)	    154(132)	     0(0)	    11(0)	     0(0)	
     +linebuffer_inst:linebuffer(MAX_RESOLUTION=2048,PIXEL_PER_CYCLE=2,PIXEL_BIT_WIDTH=12)	    163(163)	     0(0)	      9(9)	      22(22)	     0(0)	    11(0)	     0(0)	
      +linebuffer_sdpram[0].sdpram:simple_dual_ported_ram(DATA_WIDTH=24)	        0(0)	     0(0)	      0(0)	        0(0)	     0(0)	     3(3)	     0(0)	
      +linebuffer_sdpram[1].sdpram:simple_dual_ported_ram(DATA_WIDTH=24)	        0(0)	     0(0)	      0(0)	        0(0)	     0(0)	     3(3)	     0(0)	
